"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",48.154193878,
"NZL","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",31.79161644,
"NOR","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",57.251483917,
"POL","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",16.689767838,
"PRT","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",25.022438049,
"SVK","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",30.89229393,
"ESP","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",41.237586975,
"SWE","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",50.416706085,
"CHE","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",31.766202927,
"TUR","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",10.996142387,
"GBR","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",27.43621254,
"USA","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",36.322559357,
"BRA","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",6.5924501419,
"CHL","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",12.206272125,
"CHN","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",14.002120018,
"COL","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",9.1481847763,
"CRI","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",9.644536972,
"EST","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",24.337608337,
"IND","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",6.0001049042,
"IDN","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",6.372086525,
"ISR","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",35.584182739,
"LVA","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",8.7198781967,
"LTU","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",13.363620758,
"RUS","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",16.735172272,
"SVN","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",16.484861374,
"ZAF","STARTBSNS","MONEY_MEN","PC_TOTEMP","A","2017",6.2734513283,
